main_class	subclass	Catalog	Company	KEGG	PubChem CID	InChi	Neutral Name	cas	formula	mass	mPlusH	mPlusHCCS	mPlusHRsd	mPlusNa	mPlusNaCCS	mPlusNaRsd	mMinusH	mMinusHCCS	mMinusHRsd	mPlusDot	mPlusDotCCS	mPlusDotRsd	mPlusTwoH	mPlusTwoHCCS	mPlusTwoHRsd
Primary Metabolites	Amino Acids	T0254	Sigma-Aldrich	C00078	6305	QIVBCDIJIAJPQS-VIFPVBQESA-N	L-Tryptophan	73-22-3	C11H12N2O2	204.0898732	205.0971492	154.2245714	0.065189048	227.0790912	N/A	N/A	203.0825972	158.5811977	0.585646934	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	94348	Sigma-Aldrich		152323	YEIQSAXUPKPPBN-UHFFFAOYSA-N	N-(3-Phenylpropionyl) Glycine	56613-60-6	C11H13NO3	207.0895388	208.0968148	149.4657949	0.140022377	230.0787568	150.6052203	0.734312417	206.0822628	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	P7936	Sigma-Aldrich	C02305	9548602	DRBBFCLWYRJSJZ-UHFFFAOYSA-N	Phosphocreatine	67-07-2	C4H10N3O5P	211.035806	212.0653	153.7666667	0.150188667	234.025576	N/A	N/A	210.0285294	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	M4255	Sigma-Aldrich		9307	PFDUUKDQEHURQC-ZETCQYMHSA-N	3-Methoxy-L-Tyrosine	300-48-1	C10H13NO4	211.0844538	212.0913	158.7333333	0.131142335	234.0727	153.5666667	0.075192134	210.0775	153.2666667	0.164198226	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	S7129	Sigma-Aldrich	C01118	439406	GNISQJGXJIDKDJ-YFKPBYRVSA-N	O-Succinyl-L-homoserine	1492-23-5	C8H13NO6	219.07363	220.08157	147.4550443	0.039364791	242.0634	147.2204568	0.104315404	218.06569	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	C7505	Sigma-Aldrich	C00542	439258	ILRYLPWNYFXEMH-WHFBIAKZSA-N	L-Cystathionine	535-34-2	C7H14N2O4S	222.0674244	223.0747004	N/A	N/A	245.0566424	N/A	N/A	221.0601484	144.4054059	0.106348937	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	C9625	Sigma-Aldrich	C00386	439224	CQOVPNPJLQNMDC-ZETCQYMHSA-N	Carnosine	305-84-0	C9H14N4O3	226.105926	227.113866	152.1803083	0.038142497	249.095696	N/A	N/A	225.097986	154.9283341	0.112397846	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	A6001	Sigma-Aldrich	C03137	439917	DZTHIGRZJZPRDV-GFCCVEGCSA-N	N-Acetyl-D-tryptophan	2280-01-5	C13H14N2O3	246.09978	247.10772	155.6656093	0.134445597	269.08955	162.7367489	0.142673048	245.09184	161.9659612	0.107514017	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	16724	Cayman Chemical	C04148	92258	JFLIEFSWGNOPJJ-JTQLQIEISA-N	Phenylacetyl L-Glutamine	28047-15-6	C13H16N2O4	264.1110016	265.1182776	160.9270734	0.130049937	287.1002196	171.2489265	0.147746271	263.1037256	169.1711509	0.224996369	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	A7007	Sigma-Aldrich	C00019	34755	MEFKEPWMEQBLKI-AIRLBKTGSA-N	S-Adenosyl-L-methionine	29908-03-0	C15H22N6O5S	398.1371168	399.1450568	186.4636061	0.24903678	421.1268868	N/A	N/A	397.1291768	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
